# ----------------------------------------
# 사용자 획득: 신규 사용자 기본 채널 그룹(기본 채널 그룹)
# 계정: charlla
# 속성: charlla
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260401
# 종료일: 20260430
신규 사용자 기본 채널 그룹(기본 채널 그룹),첫 사용자 소스 / 매체,총 사용자,새 사용자 수,재방문자 수,활성 사용자당 평균 참여 시간,활성 사용자당 참여 세션수,이벤트 수,주요 이벤트,사용자 주요 이벤트 비율
Referral,novaecom.cafe24.com / referral,1,0,1,5,2,40,0,0
Referral,o2net03.cafe24.com / referral,1,1,0,2,1,9,0,0
Referral,oamohaus.cafe24.com / referral,1,0,1,27,1,21,0,0
Referral,ohype.cafe24.com / referral,1,1,0,230,1,24,1,1
Referral,okstarkr.cafe24.com / referral,1,1,0,69,1,18,5,1
Referral,onstest01.cafe24.com / referral,1,0,1,239,1,29,0,0
Referral,openpocha.cafe24.com / referral,1,1,0,64,1,24,3,1
Referral,osil.cafe24.com / referral,1,0,0,0,0,6,0,0
Referral,ouii.cafe24.com / referral,1,0,1,100,2,29,0,0
Referral,perware.cafe24.com / referral,1,0,1,10,1,19,0,0
Referral,pinksaltcloset.cafe24.com / referral,1,0,1,623,2,74,1,1
Referral,plac01.cafe24.com / referral,1,1,0,49,1,10,0,0
Referral,poluet.cafe24.com / referral,1,1,0,13,1,10,0,0
Referral,prinmann.cafe24.com / referral,1,1,0,15,1,11,0,0
Referral,pxgbossgolf.cafe24.com / referral,1,1,1,123,1,17,5,1
Referral,ranun0727.cafe24.com / referral,1,0,1,66,1,24,0,0
Referral,saintluxure.cafe24.com / referral,1,0,1,16,2,49,0,0
Referral,saraq0123.cafe24.com / referral,1,0,1,23,2,39,0,0
Referral,sdw10191019.cafe24.com / referral,1,1,0,46,1,9,0,0
Referral,secondblow001.cafe24.com / referral,1,1,0,5,1,10,1,1
Referral,selfdiylab.daouoffice.com / referral,1,1,1,95,4,71,0,0
Referral,seokjno4.cafe24.com / referral,1,1,1,31,1,23,0,0
Referral,seoulm8080.cafe24.com / referral,1,1,1,183,1,24,1,1
Referral,shovld43.cafe24.com / referral,1,0,1,6,1,16,0,0
Referral,simhyesu.cafe24.com / referral,1,1,0,41,1,13,3,1
Referral,slowlolli.cafe24.com / referral,1,0,1,469,2,49,2,1
Referral,smart.indongfn.co.kr / referral,1,0,1,0,1,10,0,0
Referral,spao.cafe24.com / referral,1,1,0,62,1,16,0,0
Referral,stayuyh12.cafe24.com / referral,1,0,1,93,1,34,1,1
Referral,studioirom.cafe24.com / referral,1,1,1,115,1,28,5,1
Referral,summerholic2.cafe24.com / referral,1,0,1,42,2,42,0,0
Referral,supertora.cafe24.com / referral,1,0,1,51,1,18,0,0
Referral,surfersco33.cafe24.com / referral,1,0,1,115,2,43,0,0
Referral,swimlove2004.cafe24.com / referral,1,1,0,89,1,12,0,0
Referral,testsysy.cafe24.com / referral,1,1,0,71,1,18,1,1
Referral,theredvisual.cafe24.com / referral,1,1,1,7,1,14,0,0
Referral,tiacom.cafe24.com / referral,1,1,0,99,1,42,0,0
Referral,tinker.com / referral,1,1,0,2,0,5,0,0
Referral,tokyonpearlkorea.cafe24.com / referral,1,1,0,211,1,9,0,0
Referral,ubermenz.cafe24.com / referral,1,0,1,35,1,19,0,0
Referral,undercityculture.cafe24.com / referral,1,0,1,350,2,41,0,0
Referral,undervi.cafe24.com / referral,1,0,0,0,0,2,0,0
Referral,universtone.cafe24.com / referral,1,1,1,993,3,44,0,0
Referral,usul.cafe24.com / referral,1,1,1,434,4,76,7,1
Referral,uzin2026.cafe24.com / referral,1,1,1,202,2,85,10,1
Referral,vegavery2019.cafe24.com / referral,1,0,1,13,1,17,0,0
Referral,viewgel2.cafe24.com / referral,1,1,1,164,1,20,0,0
Referral,virstyle.cafe24.com / referral,1,0,1,157,1,12,0,0
Referral,vitasoo.cafe24.com / referral,1,0,1,84,2,30,1,1
Referral,volvikapparel.cafe24.com / referral,1,0,1,5,1,17,0,0
Referral,vunque.daouoffice.com / referral,1,1,0,6,1,9,0,0
Referral,wemadekorea.cafe24.com / referral,1,0,1,14,1,19,0,0
Referral,wmail.ecount.com / referral,1,1,1,119,2,38,0,0
Referral,wrealhate.cafe24.com / referral,1,1,1,687,2,48,5,1
Referral,xmiss2004.cafe24.com / referral,1,0,1,0,0,3,0,0
Referral,yma5050.cafe24.com / referral,1,0,1,15,1,24,0,0
Referral,zerofood0.cafe24.com / referral,1,0,1,71,1,20,0,0
Unassigned,blog / ebook2,1,1,0,35,1,9,0,0
Unassigned,cafe24 / ebook,1,0,1,31,1,13,3,1
Unassigned,charlla_hp / ebook2,1,1,0,55,1,6,0,0
Unassigned,charlla_inblog / blog,1,1,1,48,1,13,0,0
Unassigned,chatgpt.com / (not set),1,0,0,0,0,2,0,0
Unassigned,perplexity / (not set),1,1,0,0,1,4,0,0
Unassigned,stibee_2nd / ebook,1,1,0,18,1,6,0,0
